date,new_cases,recoveries,in_icu,death,text,source_url
2020-08-10,498,414,47,10,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الاثنين 10 اوت 2020 و هي

🔴  498 حالة جديدة 
🔴  414 حالة تماثلت للشفاء
🔴   47 حالة في العناية المركزة
🔴  10 وفيات. https://t.co/90tqqY7Ky0",https://twitter.com/Sante_Gouv_dz/status/1292851237692608512
2020-08-12,495,364,53,11,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الاربعاء 12 اوت 2020 و هي

🔴 495 حالة جديدة 
🔴 364 حالة تماثلت للشفاء
🔴 53 حالة في العناية المركزة
🔴 11 وفيات. https://t.co/QcgUVUHrSf",https://twitter.com/Sante_Gouv_dz/status/1293572425389682691
2020-08-13,488,377,44,8,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الخميس 13 اوت 2020 و هي

🔴 488 حالة جديدة 
🔴 377 حالة تماثلت للشفاء
🔴 44 حالة في العناية المركزة
🔴 08 وفيات. https://t.co/Rfu0UGmlpw",https://twitter.com/Sante_Gouv_dz/status/1293935590396829697
2020-08-14,477,304,46,10,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الجمعة 14 اوت 2020 و هي
🔴 477 حالة جديدة 
🔴 304 حالة تماثلت للشفاء
🔴  46 حالة في العناية المركزة
🔴  10وفيات. https://t.co/NI9gniIAgu",https://twitter.com/Sante_Gouv_dz/status/1294297740390871041
2020-08-15,469,336,37,9,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم السبت 15 اوت 2020 و هي
🔴 469 حالة جديدة 
🔴 336 حالة تماثلت للشفاء
🔴 37 حالة في العناية المركزة
🔴 09 وفيات. https://t.co/WZFIT50Hl9",https://twitter.com/Sante_Gouv_dz/status/1294661848168640512
2020-08-16,450,373,40,10,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الأحد 16 اوت 2020 و هي
🔴450 حالة جديدة 
🔴373 حالة تماثلت للشفاء
🔴   40 مريض متواجدون في العناية المركزة
🔴10 وفيات. https://t.co/YQRurnqfpt",https://twitter.com/Sante_Gouv_dz/status/1295022441572466688
2020-08-17,442,330,40,9,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الاثنين 17 اوت 2020 و هي
🔴 442 حالة جديدة 
🔴 330 حالة تماثلت للشفاء
🔴  40 مريض متواجدون في العناية المركزة
🔴 09 وفيات",https://twitter.com/Sante_Gouv_dz/status/1295389276314710020
2020-08-18,419,306,46,12,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الثلاثاء 18 اوت 2020 و هي
🔴419  حالة جديدة 
🔴  306 حالة تماثلت للشفاء
🔴  46 مريض متواجدون في العناية المركزة
🔴  12 وفيات https://t.co/gF7rB1ZQ5E",https://twitter.com/Sante_Gouv_dz/status/1295751494982131713
2020-08-19,403,318,44,11,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الاربعاء 19 اوت 2020 و هي 

🔴 403 حالة جديدة 
🔴 318 حالة تماثلت للشفاء
🔴 44 مريض متواجدون في العناية المركزة
🔴 11 وفيات. https://t.co/NbcVkyeye8",https://twitter.com/Sante_Gouv_dz/status/1296126060707315716
2020-08-20,411,310,41,9,"اللجنة المشتركة لرصد و متابعة تفشي وباء كورونا covid-19
حصيلة وباء كورونا كوفيد-19 ليوم الخميس 20 اوت 2020 و هي 

🔴 411 حالة جديدة 
🔴 310 حالة تماثلت للشفاء
🔴 41 مريض متواجدون في العناية المركزة
🔴 09 وفيات. https://t.co/99Mn9uGYjy",https://twitter.com/Sante_Gouv_dz/status/1296495102664286213
